institute_short,program_name,program_duration,degree_short,quota,pool,category,is_preparatory,opening_rank,closing_rank
IIT-Kanpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,3,5
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,3,19
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,SC-PWD,0,3,3
IIT-Hyderabad,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,3,4
IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,3,13
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,3,37
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,3,3
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,3,3
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,3,3
IIT-Ropar,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,3,3
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,3,5
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,3,25
IIT-Guwahati,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,3,3
IIT-Roorkee,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-EWS-PWD,1,3,3
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,3,43
IIT-Kanpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,4,4
IIT-(BHU) Varanasi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,4,4
IIT-Madras,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,4,4
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,4,4
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,4,26
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,4,13
IIT-Ropar,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,4,4
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,4,4
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,4,55
IIT-Kharagpur,Agricultural and Food Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,1,4,352
IIT-Roorkee,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,4,9
IIT-Delhi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC-PWD,0,4,4
IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,4,4
IIT-Roorkee,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,4,40
IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,1,4,4
IIT-Madras,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,4,4
IIT-Kharagpur,Ocean Engineering and Naval Architecture,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,4,4
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL,0,5,50
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,5,5
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-EWS-PWD,0,5,5
IIT-Roorkee,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,0,5,5
IIT-Bhubaneswar,Mechanical Engineering,4 Years,B.Tech,AI,Female-Only,ST,0,5,5
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,5,121
NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST-PWD,0,5,5
IIT-(ISM) Dhanbad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,5,6
IIT-Mandi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,5,15
NIT-Hamirpur,Architecture,5 Years,B.Arch,OS,Gender-Neutral,SC-PWD,0,5,5
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,5,5
IIT-Roorkee,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,5,11
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,5,5
IIT-Kharagpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST-PWD,1,5,5
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST-PWD,0,5,47
IIT-Tirupati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,5,54
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,1,5,8
IIT-Bombay,Engineering Physics,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,5,5
IIT-Roorkee,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,5,10
IIT-Goa,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,5,5
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,SC,0,6,188
IIT-Guwahati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC-PWD,0,6,6
IIT-Kharagpur,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,6,86
IIT-Madras,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,0,6,6
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,6,52
IIT-Madras,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC-PWD,0,6,6
IIT-Delhi,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,6,51
IIT-Delhi,Mathematics and Computing,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,6,82
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,6,7
IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS-PWD,1,6,6
IIT-Bombay,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN,0,6,361
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,6,20
IIT-Bombay,Engineering Physics,4 Years,B.Tech,AI,Gender-Neutral,GEN,0,6,1290
NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,7,22
IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,7,126
IIT-Madras,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,7,61
