institute_short,program_name,program_duration,degree_short,quota,pool,category,is_preparatory,opening_rank,closing_rank
IIT-Kanpur,Biological Sciences and Bioengineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,61,257
IIT-Hyderabad,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,61,147
IIT-Delhi,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,62,188
IIT-Roorkee,Geophysical Technology,5 Years,Int M.Tech,AI,Gender-Neutral,GEN-PWD,0,62,62
IIT-Kharagpur,Industrial and Systems Engineering with M.Tech. in Industrial and Systems Engineering and Management,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,0,62,904
IIT-Bombay,Aerospace Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,62,62
NIT-Hamirpur,Architecture,5 Years,B.Arch,OS,Gender-Neutral,ST,0,62,275
IIT-Kanpur,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,62,428
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-EWS,0,62,105
IIT-Madras,Mechanical Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,62,62
IIT-Guwahati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,62,197
IIT-Madras,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,62,145
IIT-Bhubaneswar,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,1,63,63
NIT-Raipur,Mechanical Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST-PWD,0,63,80
IIT-(BHU) Varanasi,Mining Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,1,63,445
NIT-Warangal,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,OBC-NCL-PWD,0,63,63
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL,0,63,365
IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,63,91
IIT-Kanpur,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,63,94
IIT-(ISM) Dhanbad,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,64,209
IIT-Delhi,Chemical Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,64,64
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,OS,Female-Only,SC-PWD,0,64,64
IIT-Jodhpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,64,64
NIT-Calicut,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,64,64
IIT-Madras,Metallurgical and Materials Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,64,128
NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST,0,65,576
IIT-Hyderabad,Artificial Intelligence,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,65,143
IIT-Kanpur,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,65,233
NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-PWD,0,65,508
NIT-Tiruchirappalli,Architecture,5 Years,B.Arch,OS,Gender-Neutral,ST,0,65,103
IIT-(ISM) Dhanbad,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,65,65
NIT-Karnataka-Surathkal,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,OBC-NCL-PWD,0,65,191
NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,OBC-NCL-PWD,0,65,115
NIT-Hamirpur,Architecture,5 Years,B.Arch,OS,Gender-Neutral,GEN-PWD,0,65,200
NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,65,110
NIT-Allahabad,Mechanical Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST-PWD,0,65,65
IIT-Kanpur,Mathematics and Scientific Computing,4 Years,BSc,AI,Gender-Neutral,OBC-NCL-PWD,1,66,66
IIT-Kharagpur,Biotechnology and Biochemical Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,1,66,671
IIT-Kharagpur,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,66,123
IIT-(BHU) Varanasi,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,66,125
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Female-Only,SC,0,66,642
IIT-(ISM) Dhanbad,Mathematics and Computing,5 Years,Int M.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,66,66
IIT-Roorkee,Civil Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,1,66,66
NIT-Jaipur,Architecture,5 Years,B.Arch,OS,Female-Only,SC,0,66,325
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST,0,66,336
IIT-(BHU) Varanasi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,67,250
NIT-Jaipur,Civil Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,67,67
NIT-Tiruchirappalli,Electrical and Electronics Engineering,4 Years,B.Tech,OS,Female-Only,GEN-EWS-PWD,0,67,67
NIT-Tiruchirappalli,Electrical and Electronics Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,67,67
IIT-Kharagpur,Electronics and Electrical Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,67,214
IIT-Patna,Electrical and Electronics Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,68,167
IIT-Roorkee,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,68,297
NIT-Rourkela,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,68,68
IIT-(ISM) Dhanbad,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,68,68
IIT-Kharagpur,Mathematics and Computing,5 Years,Int MSc.,AI,Gender-Neutral,GEN-PWD,0,68,104
NIT-Rourkela,Electronics and Instrumentation Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST-PWD,0,68,68
IIT-Kanpur,Aerospace Engineering,4 Years,B.Tech,AI,Female-Only,ST,1,68,68
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,OS,Female-Only,OBC-NCL-PWD,0,68,76
IIT-Roorkee,Applied Mathematics,5 Years,Int MSc.,AI,Gender-Neutral,ST,0,68,909
NIT-Calicut,Electrical and Electronics Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,68,68
IIT-Madras,Mechanical Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,1,68,68
IIT-Madras,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC,0,68,108
NIT-Raipur,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,68,147
NIT-Patna,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,69,83
IIT-Delhi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL,0,69,159
IIT-Hyderabad,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,OBC-NCL-PWD,1,69,69
NIT-Hamirpur,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,69,69
IIT-Hyderabad,Materials Science and Metallurgical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,69,69
NIT-Jalandhar,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,69,187
IIT-Delhi,Biotechnology and Biochemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,1,70,157
IIT-Kanpur,Materials Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,70,70
IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,1,70,70
NIT-Nagpur,Architecture,5 Years,B.Arch,HS,Gender-Neutral,GEN-PWD,0,70,70
NIT-Warangal,Bio Technology,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,71,71
IIT-Bombay,Metallurgical Engineering and Materials Science,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,71,144
IIT-Roorkee,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,71,308
NIT-Bhopal,Planning,4 Years,B.Plan,OS,Female-Only,SC,0,71,670
IIT-Patna,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,1,71,213
NIT-Rourkela,Mechanical Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-EWS-PWD,0,71,194
IIT-Hyderabad,Artificial Intelligence,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,71,93
IIT-Kharagpur,Civil Engineering with any of the listed specialization,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,71,122
IIT-(BHU) Varanasi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,72,134
IIT-Bombay,Engineering Physics,4 Years,B.Tech,AI,Female-Only,ST,1,72,150
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-EWS,0,72,72
IIT-Guwahati,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,72,118
IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,72,72
IIT-Kharagpur,Chemical Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,1,72,72
NIT-Jamshedpur,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,72,189
IIT-(BHU) Varanasi,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,72,102
IIT-Roorkee,Geological Technology,5 Years,Int M.Tech,AI,Gender-Neutral,ST,0,72,1042
NIT-Kurukshetra,Computer Engineering,4 Years,B.Tech,OS,Gender-Neutral,OBC-NCL-PWD,0,72,121
IIT-Palakkad,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,73,73
NIT-Surat,Mathematics,5 Years,Int MSc.,HS,Gender-Neutral,OBC-NCL-PWD,0,73,73
NIT-Bhopal,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST-PWD,0,73,73
IIT-Bombay,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,73,289
IIT-Kharagpur,Mathematics and Computing,4 Years,BSc,AI,Gender-Neutral,GEN-PWD,0,73,73
IIT-Bombay,Electrical Engineering,4 Years,B.Tech,AI,Female-Only,GEN-EWS,0,73,217
IIT-Bombay,Metallurgical Engineering and Materials Science with M.Tech. in Ceramics and Composites,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,0,73,73
IIT-Delhi,Electrical Engineering in Power and Automation,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,74,74
IIT-Kanpur,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,74,91
IIT-Indore,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,74,345
IIT-(BHU) Varanasi,Metallurgical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,74,1076
NIT-Meghalaya,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,74,74
NIT-Hamirpur,Electrical Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,74,202
IIT-Delhi,Mathematics and Computing,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,74,74
IIT-Kanpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,74,452
IIT-Delhi,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,74,133
IIT-Jammu,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,74,91
NIT-Hamirpur,Architecture,5 Years,B.Arch,OS,Gender-Neutral,SC,0,74,559
IIT-Jodhpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,75,156
IIT-Kanpur,Statistics and Data Science,4 Years,BSc,AI,Gender-Neutral,GEN-PWD,1,75,75
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,75,175
NIT-Tiruchirappalli,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,75,75
IIT-Goa,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,75,144
NIT-Warangal,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC,0,75,667
IIT-Kharagpur,Mathematics and Computing,5 Years,Int MSc.,AI,Gender-Neutral,OBC-NCL-PWD,0,75,75
NIT-Warangal,Mechanical Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,75,190
NIT-Surat,Civil Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,76,76
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST,0,76,1590
NIT-Jamshedpur,Electrical Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST-PWD,0,76,76
IIT-Roorkee,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,76,76
IIT-Delhi,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL,0,76,266
IIT-(ISM) Dhanbad,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,76,79
IIT-Delhi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Female-Only,GEN-PWD,0,76,76
IIT-Dharwad,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,77,251
NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,OS,Gender-Neutral,ST,0,77,562
IIT-Gandhinagar,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,77,77
IIT-Madras,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,OBC-NCL,0,77,402
NIT-Karnataka-Surathkal,Information Technology,4 Years,B.Tech,HS,Gender-Neutral,ST,0,78,624
IIT-Roorkee,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,78,171
IIT-Roorkee,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,78,82
NIT-Surat,Mechanical Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST,0,78,862
IIT-Kharagpur,Electrical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,78,78
IIT-(BHU) Varanasi,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,78,290
IIT-Delhi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN,0,78,192
IIT-Roorkee,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,79,107
IIT-Kanpur,Economics,4 Years,BSc,AI,Gender-Neutral,GEN-PWD,0,79,127
IIT-Madras,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,79,194
IIT-Madras,Electrical Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,79,153
IIT-Guwahati,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,79,152
NIT-Rourkela,Civil Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,79,231
NIT-Nagpur,Mechanical Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST,0,79,481
IIT-Madras,Biological Sciences,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,1,79,327
NIT-Delhi,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,79,238
IIT-Tirupati,Mechanical Engineering,4 Years,B.Tech,AI,Female-Only,ST,1,79,543
NIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,ST,0,80,411
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,OS,Female-Only,GEN-EWS-PWD,0,80,98
IIT-Delhi,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN,0,80,594
NIT-Tiruchirappalli,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,OBC-NCL-PWD,0,80,80
IIT-Delhi,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,OBC-NCL,0,80,438
NIT-Karnataka-Surathkal,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,OBC-NCL-PWD,0,80,129
IIT-Delhi,Engineering and Computational Mechanics,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,80,169
IIT-Guwahati,Data Science and Artificial Intelligence,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,81,81
IIT-Hyderabad,Artificial Intelligence,4 Years,B.Tech,AI,Gender-Neutral,ST,0,81,142
IIT-(ISM) Dhanbad,Environmental Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,81,81
NIT-Jamshedpur,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,81,110
NIT-Calicut,Architecture,5 Years,B.Arch,HS,Gender-Neutral,SC,0,81,676
IIT-Guwahati,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,81,171
IIT-Delhi,Chemical Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,81,90
NIT-Calicut,Electronics and Communication Engineering,4 Years,B.Tech,OS,Female-Only,GEN-EWS-PWD,0,82,129
IIT-Jodhpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,82,82
IIT-Madras,Mechanical Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC,0,82,641
IIT-(ISM) Dhanbad,Applied Geophysics,5 Years,Int M.Tech,AI,Gender-Neutral,ST,1,82,892
NIT-Warangal,Civil Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-PWD,0,83,500
NIT-Bhopal,Architecture,5 Years,B.Arch,OS,Gender-Neutral,ST,0,83,253
NIT-Agartala,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,83,285
IIT-(BHU) Varanasi,Mathematics and Computing,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,83,141
IIT-Delhi,Mathematics and Computing,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,0,83,322
IIT-Delhi,Civil Engineering,4 Years,B.Tech,AI,Female-Only,ST,0,83,330
NIT-Karnataka-Surathkal,Electronics and Communication Engineering,4 Years,B.Tech,HS,Gender-Neutral,OBC-NCL-PWD,0,83,263
IIT-Kharagpur,Electronics and Electrical Communication Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,1,84,84
IIT-(BHU) Varanasi,Computer Science and Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-EWS,0,84,218
IIT-Palakkad,Civil Engineering,4 Years,B.Tech,AI,Female-Only,ST,0,84,84
NIT-Jalandhar,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,84,84
NIT-Puducherry,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,84,84
IIT-Mandi,Electrical Engineering,4 Years,B.Tech,AI,Female-Only,ST,1,84,84
IIT-(BHU) Varanasi,Engineering Physics,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,0,84,84
IIT-Kharagpur,Mechanical Engineering with M.Tech. in any of the listed specializations,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,1,84,137
IIT-Kanpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,SC,0,85,350
NIT-Silchar,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,85,216
IIT-Jodhpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,85,85
IIT-Delhi,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,85,329
NIT-Jaipur,Architecture,5 Years,B.Arch,OS,Gender-Neutral,SC,0,85,586
IIT-Bombay,BS in Mathematics,4 Years,BSc,AI,Gender-Neutral,ST,0,85,627
IIT-Madras,Civil Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,GEN-PWD,0,86,97
NIT-Delhi,Electrical and Electronics Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,86,86
NIT-Raipur,Architecture,5 Years,B.Arch,OS,Female-Only,GEN-PWD,0,86,86
NIT-Patna,Civil Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,86,86
IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC,0,86,236
IIT-Ropar,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,0,86,86
NIT-Allahabad,Computer Science and Engineering,4 Years,B.Tech,OS,Female-Only,SC-PWD,0,86,86
NIT-Warangal,Electronics and Communication Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST,0,86,425
NIT-Calicut,Architecture,5 Years,B.Arch,HS,Gender-Neutral,GEN-EWS,0,87,1101
IIT-Delhi,Production and Industrial Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,1,87,222
IIT-Delhi,Electrical Engineering - Power and Automation,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,87,182
NIT-Tiruchirappalli,Architecture,5 Years,B.Arch,OS,Gender-Neutral,SC,0,87,163
IIT-Kharagpur,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,88,288
NIT-Bhopal,Planning,4 Years,B.Plan,OS,Gender-Neutral,GEN,0,88,4301
IIT-Madras,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL,0,88,474
IIT-Ropar,Mechanical Engineering,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,OBC-NCL-PWD,0,88,88
NIT-Raipur,Computer Science and Engineering,4 Years,B.Tech,OS,Female-Only,GEN-EWS-PWD,0,88,229
IIT-Guwahati,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,ST,0,88,558
IIT-Kharagpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,88,788
IIT-Roorkee,Chemistry,5 Years,Int MSc.,AI,Gender-Neutral,ST,1,89,684
IIT-Bombay,Electrical Engineering with M.Tech. in Microelectronics,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,ST,0,89,184
IIT-Bhubaneswar,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,89,89
NIT-Warangal,Electrical and Electronics Engineering,4 Years,B.Tech,HS,Gender-Neutral,ST,0,89,218
IIT-Delhi,Mathematics and Computing,4 Years,B.Tech,AI,Female-Only,GEN-EWS,0,89,316
IIT-Hyderabad,Civil Engineering,4 Years,B.Tech,AI,Gender-Neutral,OBC-NCL-PWD,1,90,90
IIT-Indore,Metallurgical Engineering and Materials Science,4 Years,B.Tech,AI,Gender-Neutral,ST,1,90,400
IIT-Tirupati,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,90,139
IIT-Jodhpur,Electrical Engineering,4 Years,B.Tech,AI,Female-Only,ST,1,90,460
NIT-Warangal,Civil Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,90,234
NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,91,122
IIT-Ropar,Chemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,91,988
IIT-Bombay,Mechanical Engineering and M.Tech. in Computer Integrated Manufacturing,5 Years,B.Tech + M.Tech (IDD),AI,Gender-Neutral,SC,0,91,515
IIT-Delhi,Biotechnology and Biochemical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,91,91
IIT-Hyderabad,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,GEN-PWD,0,91,122
NIT-Calicut,Computer Science and Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-PWD,0,91,209
NIT-Patna,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,GEN-EWS-PWD,0,92,258
NIT-Tiruchirappalli,Mechanical Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-PWD,0,92,850
NIT-Rourkela,Electronics and Communication Engineering,4 Years,B.Tech,HS,Gender-Neutral,OBC-NCL-PWD,0,92,1011
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN,0,92,293
IIT-(ISM) Dhanbad,Electronics and Communication Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,92,93
IIT-Gandhinagar,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,93,152
NIT-Bhopal,Architecture,5 Years,B.Arch,OS,Female-Only,ST,0,93,232
NIT-Jaipur,Computer Science and Engineering,4 Years,B.Tech,HS,Gender-Neutral,GEN-EWS-PWD,0,93,111
IIT-Bombay,Engineering Physics,4 Years,B.Tech,AI,Gender-Neutral,SC,0,93,923
IIT-Bombay,Civil Engineering,4 Years,B.Tech,AI,Female-Only,OBC-NCL-PWD,1,93,93
NIT-Durgapur,Civil Engineering,4 Years,B.Tech,OS,Gender-Neutral,SC-PWD,0,93,93
IIT-Hyderabad,Mathematics and Computing,4 Years,B.Tech,AI,Gender-Neutral,GEN-EWS,0,93,183
IIT-Hyderabad,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,GEN-PWD,0,94,159
NIT-Calicut,Electronics and Communication Engineering,4 Years,B.Tech,HS,Gender-Neutral,SC-PWD,0,94,94
IIT-Hyderabad,Electrical Engineering,4 Years,B.Tech,AI,Gender-Neutral,ST,0,94,349
NIT-Calicut,Architecture,5 Years,B.Arch,HS,Female-Only,GEN-EWS,0,95,453
NIT-Rourkela,Electronics and Communication Engineering,4 Years,B.Tech,OS,Gender-Neutral,OBC-NCL-PWD,0,95,95
IIT-Kanpur,Mechanical Engineering,4 Years,B.Tech,AI,Gender-Neutral,SC,0,95,804
IIT-Kharagpur,Computer Science and Engineering,4 Years,B.Tech,AI,Female-Only,ST,0,95,193
